name,region,date,value
Number of applications for consumer loans,Russia,2013-01-15,571147
Number of applications for consumer loans,Russia,2013-02-15,504508
Number of applications for consumer loans,Russia,2013-03-15,628803
Number of applications for consumer loans,Russia,2013-04-15,836054
Number of applications for consumer loans,Russia,2013-05-15,867235
Number of applications for consumer loans,Russia,2013-06-15,768036
Number of applications for consumer loans,Russia,2013-07-15,912096
Number of applications for consumer loans,Russia,2013-08-15,911461
Number of applications for consumer loans,Russia,2013-09-15,856974
Number of applications for consumer loans,Russia,2013-10-15,977855
Number of applications for consumer loans,Russia,2013-11-15,1000675
Number of applications for consumer loans,Russia,2013-12-15,1103781
Number of applications for consumer loans,Russia,2014-01-15,526412
Number of applications for consumer loans,Russia,2014-02-15,815619
Number of applications for consumer loans,Russia,2014-03-15,846748
Number of applications for consumer loans,Russia,2014-04-15,1021656
Number of applications for consumer loans,Russia,2014-05-15,956861
Number of applications for consumer loans,Russia,2014-06-15,943657
Number of applications for consumer loans,Russia,2014-07-15,1072903
Number of applications for consumer loans,Russia,2014-08-15,1034128
Number of applications for consumer loans,Russia,2014-09-15,911897
Number of applications for consumer loans,Russia,2014-10-15,929318
Number of applications for consumer loans,Russia,2014-11-15,806197
Number of applications for consumer loans,Russia,2014-12-15,896531
Number of applications for consumer loans,Russia,2015-01-15,264938
Number of applications for consumer loans,Russia,2015-02-15,342134
Number of applications for consumer loans,Russia,2015-03-15,407710
Number of applications for consumer loans,Russia,2015-04-15,546438
Number of applications for consumer loans,Russia,2015-05-15,504287
Number of applications for consumer loans,Russia,2015-06-15,969982
Number of applications for consumer loans,Russia,2015-07-15,1019089
Number of applications for consumer loans,Russia,2015-08-15,891671
Number of applications for consumer loans,Russia,2015-09-15,816217
Number of applications for consumer loans,Russia,2015-10-15,789457
Number of applications for consumer loans,Russia,2015-11-15,707114
Number of applications for consumer loans,Russia,2015-12-15,980369
Number of applications for consumer loans,Russia,2016-01-15,579791
Number of applications for consumer loans,Russia,2016-02-15,644253
Number of applications for consumer loans,Russia,2016-03-15,754960
Number of applications for consumer loans,Russia,2016-04-15,846514
Number of applications for consumer loans,Russia,2016-05-15,852801
Number of applications for consumer loans,Russia,2016-06-15,928216
Number of applications for consumer loans,Russia,2016-07-15,922437
Number of applications for consumer loans,Russia,2016-08-15,1012085
Number of applications for consumer loans,Russia,2016-09-15,894918
Number of applications for consumer loans,Russia,2016-10-15,855451
Number of applications for consumer loans,Russia,2016-11-15,874404
Number of applications for consumer loans,Russia,2016-12-15,1019534
